Código TSE,Nome,IDH,IDH (categoria),Vencedor,Categoria,PSL (% de votos válidos),PSL (votos),PT (% de votos válidos),PT (votos),Total de votos válidos
18635,Serra de São Bento,0.582,Baixo,PT,Baixo PT,21.09,737,78.91,2758,3495
35700,Igrapiúna,0.574,Baixo,PT,Baixo PT,21.10,1250,78.90,4674,5924
2852,Urucará,0.620,,PT, PT,21.10,1547,78.90,5785,7332
14532,Limoeiro do Norte,0.682,,PT, PT,21.10,7081,78.90,26481,33562
23973,Cumaru,0.572,Baixo,PT,Baixo PT,21.11,2060,78.89,7698,9758
14192,Ipueiras,0.573,Baixo,PT,Baixo PT,21.12,4150,78.88,15504,19654
20532,Juarez Távora,0.579,Baixo,PT,Baixo PT,21.14,1088,78.86,4059,5147
34932,Cristópolis,0.614,,PT, PT,21.15,1712,78.85,6381,8093
11070,Joaquim Pires,0.522,Baixo,PT,Baixo PT,21.16,1760,78.84,6557,8317
28592,Santana do Ipanema,0.591,,PT, PT,21.16,4678,78.84,17425,22103
19550,Borborema,0.558,Baixo,PT,Baixo PT,21.17,665,78.83,2476,3141
21237,Pedra Lavrada,0.574,Baixo,PT,Baixo PT,21.17,941,78.83,3505,4446
9490,Viana,0.618,,PT, PT,21.17,5289,78.83,19698,24987
20656,Lagoa de Dentro,0.570,Baixo,PT,Baixo PT,21.23,975,78.77,3617,4592
22292,Tacima,0.551,Baixo,PT,Baixo PT,21.24,1062,78.76,3939,5001
27235,Cacimbinhas,0.531,Baixo,PT,Baixo PT,21.26,1125,78.74,4166,5291
34363,Caraíbas,0.555,Baixo,PT,Baixo PT,21.26,1167,78.74,4323,5490
7196,Arari,0.626,,PT, PT,21.26,3346,78.74,12390,15736
19844,Aparecida,0.578,Baixo,PT,Baixo PT,21.28,1095,78.72,4051,5146
35513,Ibipitanga,0.584,,PT, PT,21.28,1711,78.72,6328,8039
28819,Taquarana,0.541,Baixo,PT,Baixo PT,21.29,1986,78.71,7341,9327
39039,Sento Sé,0.585,,PT, PT,21.29,3970,78.71,14681,18651
15318,Quixeré,0.622,,PT, PT,21.29,2645,78.71,9781,12426
30678,Jaborandi,0.613,,PT, PT,21.30,1252,78.70,4627,5879
35874,Iramaia,0.571,Baixo,PT,Baixo PT,21.31,1138,78.69,4202,5340
8257,Magalhães de Almeida,0.567,Baixo,PT,Baixo PT,21.32,1697,78.68,6261,7958
7080,Amapá do Maranhão,0.520,Baixo,PT,Baixo PT,21.33,697,78.67,2571,3268
9679,Arame,0.512,Baixo,PT,Baixo PT,21.35,3040,78.65,11202,14242
5533,São Sebastião da Boa Vista,0.558,Baixo,PT,Baixo PT,21.36,2813,78.64,10358,13171
19461,Marizópolis,0.608,,PT, PT,21.36,917,78.64,3377,4294
38458,Ruy Barbosa,0.610,,PT, PT,21.39,3202,78.61,11766,14968
21733,Santana dos Garrotes,0.594,,PT, PT,21.40,897,78.60,3295,4192
15776,Uruburetama,0.639,,PT, PT,21.40,2739,78.60,10062,12801
27154,Belém,0.593,,PT, PT,21.41,684,78.59,2511,3195
39632,Vera Cruz,0.645,,PT, PT,21.42,4875,78.58,17888,22763
34819,Coribe,0.600,,PT, PT,21.44,1784,78.56,6538,8322
39985,Sobradinho,0.631,,PT, PT,21.45,2811,78.55,10296,13107
45918,Ibiaí,0.614,,PT, PT,21.47,787,78.53,2879,3666
11150,Luzilândia,0.545,Baixo,PT,Baixo PT,21.48,2966,78.52,10839,13805
5134,Ponta de Pedras,0.562,Baixo,PT,Baixo PT,21.51,2982,78.49,10879,13861
7064,Apicum-açu,0.568,Baixo,PT,Baixo PT,21.52,1649,78.48,6014,7663
12092,São Pedro do Piauí,0.595,,PT, PT,21.52,1681,78.48,6130,7811
16535,Cerro Corá,0.607,,PT, PT,21.55,1328,78.45,4835,6163
34851,Correntina,0.603,,PT, PT,21.56,3753,78.44,13658,17411
9598,Paulo Ramos,0.549,Baixo,PT,Baixo PT,21.58,2262,78.42,8221,10483
11576,Pedro Ii,0.571,Baixo,PT,Baixo PT,21.60,4697,78.40,17051,21748
9695,Miranda do Norte,0.610,,PT, PT,21.60,2209,78.40,8016,10225
25712,São José do Egito,0.635,,PT, PT,21.61,3576,78.39,12970,16546
23299,Belém de Maria,0.578,Baixo,PT,Baixo PT,21.62,1356,78.38,4917,6273
38350,Rio de Contas,0.605,,PT, PT,21.62,1722,78.38,6244,7966
13340,Ipaporanga,0.579,Baixo,PT,Baixo PT,21.65,1415,78.35,5121,6536
23159,Altinho,0.598,,PT, PT,21.65,2622,78.35,9491,12113
18333,São Bento do Trairí,0.595,,PT, PT,21.67,606,78.33,2191,2797
27030,Anadia,0.568,Baixo,PT,Baixo PT,21.68,1711,78.32,6182,7893
16055,Afonso Bezerra,0.585,,PT, PT,21.70,1363,78.30,4917,6280
26115,Trindade,0.595,,PT, PT,21.70,3316,78.30,11966,15282
37273,Milagres,0.622,,PT, PT,21.70,1267,78.30,4573,5840
32174,Riachuelo,0.617,,PT, PT,21.72,1219,78.28,4394,5613
18058,Serra Caiada,0.563,Baixo,PT,Baixo PT,21.75,1214,78.25,4367,5581
20419,Itaporanga,0.615,,PT, PT,21.75,2666,78.25,9593,12259
12670,Caraúbas do Piauí,0.505,Baixo,PT,Baixo PT,21.78,758,78.22,2723,3481
33499,Baianópolis,0.589,,PT, PT,21.78,1804,78.22,6478,8282
33030,Abaré,0.575,Baixo,PT,Baixo PT,21.79,2077,78.21,7453,9530
14630,Mauriti,0.605,,PT, PT,21.81,5458,78.19,19565,25023
21210,Pedra Branca,0.599,,PT, PT,21.83,575,78.17,2059,2634
27812,Lagoa da Canoa,0.552,Baixo,PT,Baixo PT,21.84,2297,78.16,8222,10519
40444,Matias Cardoso,0.616,,PT, PT,21.84,859,78.16,3074,3933
13455,Bela Cruz,0.623,,PT, PT,21.84,3113,78.16,11141,14254
31534,Ilha das Flores,0.562,Baixo,PT,Baixo PT,21.86,990,78.14,3539,4529
39098,Serrinha,0.634,,PT, PT,21.86,9579,78.14,34236,43815
19712,Cacimba de Dentro,0.564,Baixo,PT,Baixo PT,21.88,2089,78.12,7457,9546
24619,João Alfredo,0.576,Baixo,PT,Baixo PT,21.89,3499,78.11,12483,15982
13307,Ocara,0.594,,PT, PT,21.90,3650,78.10,13020,16670
33090,Érico Cardoso,0.584,,PT, PT,21.92,1128,78.08,4018,5146
37214,Mata de São João,0.668,,PT, PT,21.92,6152,78.08,21916,28068
25933,Tacaimbó,0.554,Baixo,PT,Baixo PT,21.95,1610,78.05,5724,7334
8877,Riachão,0.576,Baixo,PT,Baixo PT,21.97,2330,78.03,8274,10604
7617,Chapadinha,0.604,,PT, PT,21.97,8385,78.03,29774,38159
36552,Jaguarari,0.659,,PT, PT,21.98,3532,78.02,12539,16071
13420,Ararendá,0.590,,PT, PT,22.01,1332,77.99,4720,6052
31771,Malhador,0.587,,PT, PT,22.02,1530,77.98,5417,6947
49352,Fronteira dos Vales,0.592,,PT, PT,22.02,534,77.98,1891,2425
22195,Serraria,0.547,Baixo,PT,Baixo PT,22.04,684,77.96,2420,3104
28517,Quebrangulo,0.559,Baixo,PT,Baixo PT,22.05,1429,77.95,5053,6482
19496,Bonito de Santa Fé,0.574,Baixo,PT,Baixo PT,22.05,1209,77.95,4273,5482
25097,Passira,0.592,,PT, PT,22.06,3916,77.94,13838,17754
